	AND-0.0-10000.dens-1, 	Mosek, 	5, 	2, 	2, 	2, 	Optimal, 	-3.398675715742291991716683696722611784934997558593750000000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	1.772816241674469454336235150018231954138769879136816598474979400634765625000000e-09, 	8.290640007846405978852999396622180938720703125000000000000000000000000000000000e-09, 	3.547513615916488366429972430861859711281880436217761598527431488037109375000000e-09, 	1.812852090665728610474616289138793945312500000000000000000000000000000000000000e-09, 	4.053182900420893020054791122674942016601562500000000000000000000000000000000000e-09, 	1.189857860699054724267481185796119236286472187202889472246170043945312500000000e-09, 	3.451468531212195696464574141797132522668789533781819045543670654296875000000000e-09, 	4.903252600691153083506090432835360190847385075203638563582575648020658770895243e-01, 	3.022587995995312803998444906028453260660171508789062500000000000000000000000000e-01, 	1.716602244222975296827921511263418535842006917846447322517633438110351562500000e-09, 	2.123463747009136752541547110695319133810698986053466796875000000000000000000000e-03, 	11, 	22, 	22, 	22, 	7, 	3.278255462646484375000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-1, 	ECOS_L, 	15, 	2, 	2, 	2, 	Optimal, 	-3.398675713754180094383627874776721000671386718750000000000000000000000000000000e-01, 	6.249672093722452335887409891675581957715124303831544239073991775512695312500000e-10, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	5.799343782975086014630505815148353576660156250000000000000000000000000000000000e-10, 	3.228188315789271996407183593037412694393140100146410986781120300292968750000000e-10, 	2.509146224127789537305943667888641357421875000000000000000000000000000000000000e-10, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	4.903252597822913107634716794313425983844152416557690176121909237392250797119194e-01, 	3.022588072620623345088120004220400005578994750976562500000000000000000000000000e-01, 	-1.686389246769947073463475543055378994476192643277041166571805774765380192548037e-17, 	2.123461368167695213771128948110344936139881610870361328125000000000000000000000e-03, 	0, 	0, 	0, 	0, 	0, 	2.329349517822265625000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-2, 	Mosek, 	5, 	2, 	2, 	2, 	Optimal, 	-3.453474668318223805840716522652655839920043945312500000000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	1.444778478558436881304115270978783575062109889586281497031450271606445312500000e-09, 	7.932223128337412276778195519000291824340820312500000000000000000000000000000000e-09, 	3.400368162720703314261681875435919253369831949385115876793861389160156250000000e-09, 	1.739437399672638662195822689682245254516601562500000000000000000000000000000000e-09, 	3.079900334768126413109712302684783935546875000000000000000000000000000000000000e-09, 	1.021589760233056225908660516292492115297818600083701312541961669921875000000000e-09, 	2.914903454415809193222491413430980111698431755939964205026626586914062500000000e-09, 	4.982310777818359401367721318732208917270429166618798788624056452684673394163952e-01, 	3.147022469838858249602253636112436652183532714843750000000000000000000000000000e-01, 	1.473842766509845908728487630032222277520759234903380274772644042968750000000000e-09, 	2.439750585236753668144649154214675945695489645004272460937500000000000000000000e-03, 	11, 	22, 	22, 	22, 	7, 	2.927780151367187500000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-2, 	ECOS_L, 	15, 	2, 	2, 	2, 	Optimal, 	-3.453474661326437211705808749684365466237068176269531250000000000000000000000000e-01, 	3.225538736317698363686160308971394988786229873767297249287366867065429687500000e-10, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	1.256455772757902877856395207345485687255859375000000000000000000000000000000000e-09, 	5.449596955948937525738968076761091496873490314101218245923519134521484375000000e-10, 	3.173704632430940364429261535406112670898437500000000000000000000000000000000000e-10, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	4.982310767731343555055354012078796683844639091750520934879640463568765164105664e-01, 	3.147022545543982086080347926326794549822807312011718750000000000000000000000000e-01, 	2.668023976602728492094828969500717847743265589456618247510277797118760645389557e-17, 	2.439748788401474143688885121150633494835346937179565429687500000000000000000000e-03, 	0, 	0, 	0, 	0, 	0, 	2.579689025878906250000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-3, 	Mosek, 	5, 	2, 	2, 	2, 	Optimal, 	-3.479302358079111034960817505634622648358345031738281250000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	2.032632805397932372091698689122569142229135508159743039868772029876708984375000e-10, 	1.505904623222420468664495274424552917480468750000000000000000000000000000000000e-09, 	6.459541235917226283664707706176459633962139150753500871360301971435546875000000e-10, 	3.304332363285311657818965613842010498046875000000000000000000000000000000000000e-10, 	5.127183122510814428096637129783630371093750000000000000000000000000000000000000e-10, 	1.462223612561380788721094623014862962095961052000347990542650222778320312500000e-10, 	5.199668620659626649051138471617321268336553430344793014228343963623046875000000e-10, 	5.01957225775401006515935681070170157999939837863271408319095549915698672805008e-01, 	3.156873762539801897553104481630725786089897155761718750000000000000000000000000e-01, 	2.109541865523601472676547999936160632250548019328562077134847640991210937500000e-10, 	5.458498174770768165964263118894450599327683448791503906250000000000000000000000e-03, 	11, 	22, 	22, 	22, 	7, 	3.161430358886718750000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-3, 	ECOS_L, 	15, 	2, 	2, 	2, 	Optimal, 	-3.479302351092500855678224525036057457327842712402343750000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	2.293714016505295038308187836510005849777193986938073066994547843933105468750000e-10, 	1.995633047702227713671163655817508697509765625000000000000000000000000000000000e-09, 	8.604604378791060555544725470342865003559040815162006765604019165039062500000000e-10, 	4.942811715480388556898105889558792114257812500000000000000000000000000000000000e-10, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	5.019572247674462206884008031153598776228876509524334335029888981354943049049911e-01, 	3.156873783740373751172114680230151861906051635742187500000000000000000000000000e-01, 	2.380502629056628667070466544942791350947253192771313479170203208923339843750000e-10, 	5.458498201925021837965790183488934417255222797393798828125000000000000000000000e-03, 	0, 	0, 	0, 	0, 	0, 	2.539157867431640625000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-4, 	Mosek, 	5, 	2, 	2, 	2, 	Optimal, 	-3.452060066688233397336205143801635131239891052246093750000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	1.255160668765111702882116585528859270537438419523823540657758712768554687500000e-10, 	5.632522503962178461733856238424777984619140625000000000000000000000000000000000e-10, 	2.414138245589060169197180753613250769884501778506091795861721038818359375000000e-10, 	1.235282154343764204895705915987491607666015625000000000000000000000000000000000e-10, 	2.413771404974340839544311165809631347656250000000000000000000000000000000000000e-10, 	8.880310840417372469501341798853145080572257796802659868262708187103271484375000e-11, 	2.216129009780202459367260085985299085387101314381652628071606159210205078125000e-10, 	4.980269939061938794617355878101206229196013305851372771240311561674007418950166e-01, 	3.064924844680900761773045815061777830123901367187500000000000000000000000000000e-01, 	1.281158298707730651666476650378761852067110993402820895425975322723388671875000e-10, 	1.085360101289608789065788130301370983943343162536621093750000000000000000000000e-02, 	11, 	22, 	22, 	22, 	7, 	3.139972686767578125000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-4, 	ECOS_L, 	15, 	2, 	2, 	2, 	Optimal, 	-3.452060061301518434362378684454597532749176025390625000000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	2.193228183116907892649225527928079013118001228122011525556445121765136718750000e-10, 	1.998073012599022035828966181725263595581054687500000000000000000000000000000000e-09, 	8.609063632843552557423222590978883345114169856060470920056104660034179687500000e-10, 	4.952558363413572806166484951972961425781250000000000000000000000000000000000000e-10, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	4.980269931290551029996014093683589381614624903282721567341945115323697435220401e-01, 	3.064924858868071644302233380585676059126853942871093750000000000000000000000000e-01, 	2.238655621289335034903075653865776178941260354804398957639932632446289062500000e-10, 	1.085360110486879511859648061999905621632933616638183593750000000000000000000000e-02, 	0, 	0, 	0, 	0, 	0, 	2.598762512207031250000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-5, 	Mosek, 	5, 	2, 	2, 	2, 	Optimal, 	-3.437332162471626317845618814317276701331138610839843750000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	1.285398970617840213834483996765316662913569700776861282065510749816894531250000e-10, 	5.784575873857278338618925772607326507568359375000000000000000000000000000000000e-10, 	2.479302911253009414641299265532345744156295097582187736406922340393066406250000e-10, 	1.269786775726089445015531964600086212158203125000000000000000000000000000000000e-10, 	2.459026315904111470445059239864349365234375000000000000000000000000000000000000e-10, 	9.123988396530622016032612911438904289285201087977839051745831966400146484375000e-11, 	2.263681717562731395876457336533240684295353872812484041787683963775634765625000e-10, 	4.959022064685952106780850304482810176086420089990972189973552656481753621280322e-01, 	3.075015738632866368895690811768872663378715515136718750000000000000000000000000e-01, 	1.118583045783529995864657990978230373002588748931884765625000000000000000000000e-02, 	1.316312891123928325641458923439086441120604575871766428463160991668701171875000e-10, 	11, 	22, 	22, 	22, 	7, 	3.089904785156250000000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-5, 	ECOS_L, 	15, 	2, 	2, 	2, 	Optimal, 	-3.437332157128165088799676141206873580813407897949218750000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	2.125794129276372526317621099129851272580005172585515538230538368225097656250000e-10, 	1.999380494499547467057709582149982452392578125000000000000000000000000000000000e-09, 	8.625463305612624902515137379898236408282130582847457844763994216918945312500000e-10, 	4.976423717550915171159431338310241699218750000000000000000000000000000000000000e-10, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	4.959022056976967090453823118675993409871090517750606282274069942547135414328081e-01, 	3.075015753020036157749927951954305171966552734375000000000000000000000000000000e-01, 	1.118583054001773095798011325996412779204547405242919921875000000000000000000000e-02, 	2.176919469794772284020706218412286904462238368296311818994581699371337890625000e-10, 	0, 	0, 	0, 	0, 	0, 	2.539157867431640625000000000000000000000000000000000000000000000000000000000000e-04, 
	AND-0.0-10000.dens-6, 	Mosek, 	5, 	2, 	2, 	2, 	Optimal, 	-3.468046447582919800112222219468094408512115478515625000000000000000000000000000e-01, 	0.000000000000000000000000000000000000000000000000000000000000000000000000000000, 	3.785665801802165680502304553004401087984431839572607714217156171798706054687500e-11, 	4.238773776421567163197323679924011230468750000000000000000000000000000000000000e-10, 	1.817060061147358123571886074910626887590758826718229101970791816711425781250000e-10, 	9.289274904844546654203440994024276733398437500000000000000000000000000000000000e-11, 	1.512980851714473828906193375587463378906250000000000000000000000000000000000000e-10, 	4.022789568313318935420115105781315931188224510606232797726988792419433593750000e-11, 	1.499501946422107026072437465833396552650214061941369436681270599365234375000000e-10, 	5.003333411500464938660881340687190436781339434232458755392797913255396885326824e-01, 	3.100344158919847714628303947392851114273071289062500000000000000000000000000000e-01, 	3.860380252298207168969342229763856179369785337485154741443693637847900390625000e-11, 	6.566530906970462384830700131033154320903122425079345703125000000000000000000000e-03, 	11, 	22, 	22, 	22, 	7, 	2.958774566650390625000000000000000000000000000000000000000000000000000000000000e-04, 
